nft_name,nft_id,owner_address
Retro-EVO POSAT #243,nft1qh0kz34eezxetnl3k6wna6jl72vuptyul8ylmymvta5yk9urpgmqh6vr0h,xch1jyvm84j0snquc6933qpzq9e2j09vr8pnfedn66kc20cyts7nu2dsxrv4qh
Retro-EVO POSAT #216,nft19efmfz2wnmcrrh4fnf925qplpejhe6xaqswc6px5cmkgfx382nlqllgwvv,xch18utnmnjshdqsmge3t4g5gnmsdff3al5gkejdtr598phxulghy8asamzngn
Retro-EVO POSAT #195,nft1az4j8hr9y7qynuxvqw85kk5ysz74s6c62jl5mm004ugdsqnxa5vsd33yyj,xch1y2lny93af7guksp72v40qjw0nhpphg84jr7rwq430smumh2lhjcsc0u2y2
Retro-EVO POSAT #275,nft1n9l6jv6s5nqv89s4t6v7dg7fx9fnted3nu2skk0sx7frxn085nlqe9k66r,xch1u9y4km2vvulvug6qj0lgrr2x42xgxplmwzcek56dm63a5g7uevzsx3asf0
Retro-EVO POSAT #263,nft186n4asv75mgn4lh9mlyuxmxlwa585avw3pqew2ehkld8wvjw8szqp0kzet,xch1j58za7ycgxz6l3xj8vwnqyse7tcyatm94vpdt9txf5jfw336cxzqmszj3j
Retro-EVO POSAT #49,nft1rczus90u4jk24zw0al3t2h04rgrznjv0awndqejwtvjcha8camcqckzlts,xch1njk920lqejy82ea59f2kr9lcq9c09ajrac2wrlsf2qfl69vtykgqsj33xs
Proof of Synth and Time #10,nft1jyax82x5tygdsq56cs3vq9vyzvn4zykvl0zzjnq46cwam0ekufnsadmyv0,xch1dsacg5ff6lway8vpshfx7q0pc2spx6pmrp7d3h4x7g4gd0388rvswy4zah
Proof of Synth and Time #97,nft1qztug8nq0wue2mlzsvwz6g0mf5zfps0amcvscl2xy9p5d7rsyw2q8p4mkt,xch18j0562tazv8peqgf5tc68yh80me9p57a43wzag28aw6uea2s7fwq8mgthw
Proof of Synth and Time #94,nft1zk8l4kyk2lpsa2wehn39ptrte3y5u6fyeu6zlptknghe2zhcp6dqrhsrn8,xch17ulkuzkk6rjjd55qnl7rmx4j3zqk9fux9csasc323ngd3uvnje9qa3kg0u
Proof of Synth and Time #76,nft1jvlzlesflpv489t3tm3c32r0s9nu28d9rh7sdk74vn9l9phnu0mstwjvry,xch1vkzrkw6q658aj0jte07x2f43nu4gjueu8zwv873gkjrz7vp7924qqgu6e3
Proof of Synth and Time #135,nft1k42d4y6uth8hm0kgcdvkdzumshr2et0ujfy5mz0yenckvj9zc26sgy5vst,xch1lv72naplsd75clylsw24uvetn4xuu5zpegsejx942e66d78u4jgsnkuc34
Proof of Synth and Time #165,nft1ktkyja0kjsqfmt6n8qnuqkmvj5ylgj478ngejngq3uga8mnyvmlsytx9hx,xch1lv72naplsd75clylsw24uvetn4xuu5zpegsejx942e66d78u4jgsnkuc34
Proof of Synth and Time #159,nft1v7f45cjyfyc4r0kapkl4h3nd2t5jcpjww0zfgq5l2s6zkd4tmfzsw9j4cp,xch1v7gzayht7t5ug68huljygrjxs9s5l57c0skpdnh8rftxzr7w9ujsq3md68
Proof of Synth and Time #183,nft1dx7n0f9mlgsrvvczd4jjda6lukydyf29mchuu6pgzvpjl70hqzzq9tsj5c,xch1htys893y9h2tjkgk5vguce7pycvq5vwcv9hncuk8tck7uhygl27svxkhnh
Proof of Synth and Time #267,nft1584z4tz82n9pu89ysnvux5nz6270x2k88y93sk36wzz48j0jxwesy73rhs,xch1sjccmfdte5nf4lqkzu7xz5csdyn7a3xkjnmzdlmumu87ft5fe25sgel8sp
Proof of Synth and Time #284,nft1q7qlmls52zfd6rseytutwma9qg08ry5hwl0gz92gdtln2cvkfrfqfdhsc0,xch1dyfxn6fwu5ma0ruucdhm3e5gjd894qep2hslz0hpv4g6xaxauugspqxm2h
Retro-EVO POSAT #151,nft108ta5qd7w8jtftmk2yv26lqextak43jpxr8w6zxh2w9yajdka26s9wwae7,xch16uay83je4vf5ttptpz9e047zqyj84kv7a8v6jlac8png0wrqtznslmjxr8
Retro-EVO POSAT #178,nft102crdw7rksqesxpu96w6tsdn7pxk04nqv64qhtv6hqyp8gud5d8qwmknkr,xch19pt9elxpwc04hly670wuemslfyzl7ymn2ee3ypkwnngl7e4mlrksxnyzf3
Retro-EVO POSAT #184,nft1dfyg8utcjze9ufsaejn9f2zf5hevp23v9j7ukklccctefu4wfq8sertckx,xch16zlqyxfmgsmmvu5vfpzjpa5pt5ehx78cfd3zh7kcs6jmv0hjedyshyshzp
Retro-EVO POSAT #251,nft1fehz28ney5lyx34ztmqzh0490ytkue73fsxp2egrz90ptaxes7rqg0m0n5,xch130yrfwqpx8sfpw7ehdlgh9twgn85gcv7j4v7d5s9wd97v3d7t04sp89dms
Retro-EVO POSAT #13,nft1cz4m7tzxkkd7f2ptam9zkuzgetmr49meucnjc5ylc5zec0kse83qe2fza5,xch1ry5l205k2360mhklcchk02trf4gdsve9arl0krzuf6ad69r4ekdsv82tdt
Retro-EVO POSAT #260,nft1a9g5zptkq7fsg2g303twla65crh9vtzur4g8q3jwzfyrx4eymjcsfd2p62,xch1v4t0a5sgmp08k3k83hjukrf3ksfvvqf962skgttn6w66emsuc7hsp27slr
Retro-EVO POSAT #78,nft1qhl25rqrfqdgs2z6d4h85ypqxs9s39t8gfluwrsc6sx39a98a7psa4e5qj,xch1jp9746p0xsasg8kfn8yejskdp96ujwr6q5adregv7j8psyrjthzs3yuz2w
Retro-EVO POSAT #85,nft1v6mtzp2qrx3kq7hfasylmyxw4m3fjlnp7tcx4xa6cy7g4pxppuhs8r3tyy,xch1cvdva24ra20pp8t5txyczswdtzhdu9njr7kcu3ykm72hylsatvksfk65ds
Retro-EVO POSAT #278,nft1npuwye5hs6qfgr9mk9lyszm4n2rk0kp6nu2qm0nqnjfvxmhulq4qns4sth,xch10zapxphkf855th0zlvjn7djewd4h0k7f0jugv9f42gffstgn3jns2kt0va
Retro-EVO POSAT #233,nft1e9xzu8nlhl5nlqe6wu0rntuf0r9jfqc7a027t6fnds5y2d9eqwjqu20azr,xch175mdxgh8qrlsnamkl806sn04ju2e6xt3qdttj0acstp88wxlc9uss84ek2
Retro-EVO POSAT #145,nft1xg0jrwtgccrlg9j0ewf0wjkqyffps29squ6vutpa0rm67glmqwjqg8g0kx,xch1jyvm84j0snquc6933qpzq9e2j09vr8pnfedn66kc20cyts7nu2dsxrv4qh
Retro-EVO POSAT #30,nft1gxghupkqyn0wuqk9lqgmlyw0ggntzarfsst7q984gy64zzc42d8qyla3cf,xch1z5p9yay7vm7cvvg08t5es6muxh9ddf50thnsfxphy8xywceuekksdcfep7
Retro-EVO POSAT #292,nft1uxp6f9703ljwjemq3063qhlldh8xu89yl5cl65tfp30cglxvwdfs2t6day,xch1ur35tpfl5ypkqmkxdenaztmttg4sne7e5u75hq7cl4v2q2y4y2dsdryg4p
Retro-EVO POSAT #162,nft18hwx8h0mqweh6gflwtwvs6cmgm4j5jcktwvkr4pjdrmy8kyqcg5su4zf7d,xch1n6lcgypl7jxhj5nspjy7dyedx8pqra3gxtxg2v7ljvjae4q5djss2evywr
Retro-EVO POSAT #28,nft1z4gv5nv0udx5h9fzesmgcmgfcuypmth5wt6gllgf9vnuv94s482q9ulr60,xch14q4yqrzqwnfne78u3x4hhnys2csas3j7rqhj9qg7evazdwj54xlsfp8w4a
