nft_name,nft_id,owner_name,owner_DID,owner_address
Proof of Synth and Time #140,nft1qzca2jlmr9hukqndpxfg9emc65kj3c4tvnus4299qfv03aewfnss63uzlu,jon🌱🔗Ӿ,did:chia:10y6wjchjvkcxlf403amanxdpvmapesy4mnrhc6s7qe0qpzqyughqdj5fhl,xch1upjm2fcvrrhd79cdune56w0fxaf4dndpcm9p4vpy9eevyj7y6x8s8t6m48
Retro-EVO POSAT #170,nft1gdj55zpvk0vh8fy4n38857eprjtrg0v4amsfcuzpnuxtjktw7hcqfqh3qx,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1dcpqeax06krpyvxtkrr4f75khq3yrnr6ny8qk7gf9r26u8y4f2zqma526g
Proof of Synth and Time #22,nft1paqs7yfcylpy2kkxfd60229m97748tkq646kzqleyxs9uqnf7q7semducx,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch13d2gku998jfz6za23j4xu7p59zj6kkweww4zffjm2qtrr7jqhksqfu3txn
Proof of Synth and Time #17,nft1tnq7klu33rkqx42fx9q0f6p53hslpkk506f32halu5vamsjn4j2shqhju2,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1lvy7uz6u9f473pq8hdyc5tkxznljez0mm9vn4wxhv69kh9njpq7qanafvt
Proof of Synth and Time #65,nft195fhgrje7mt9qfmvdu06yyskxrxksnspx5g6ql8rwjyr2u93duzqtyy5s5,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1c8c3nmhmftnmr5k5wvgts2v9uk2pajsekja4q6hnx686rywghtfqjtyw8m
Proof of Synth and Time #57,nft16psqk4gs9vudz9ft8vrkzvlnl5x8edjtg7pcpsm39pf4akp329as994a9z,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1as5saqkc6pw6xh3pzpzc5uv4rsfxvu34u28fpv73khgcarc32chsfagpzn
Proof of Synth and Time #138,nft1thy7tk25jwuact3mceuz64y6l6tl5uynkaccwq2lqypg47s5lq5sjee47t,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1za7jtx5aknre3ctljj5ur673h9nnz556fl7tj2lhuskcmz9ls64s4rc6m6
Proof of Synth and Time #133,nft1qrhu2vzsdx0gar99rneasyqcs26q6awvn5mtz255ppm6k7r0htasck89zf,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1qrj9gxf3w8gwupw52agvayevjprqyztv78zvmk3khyjjtyzan8zqx8m7wz
Proof of Synth and Time #130,nft1eajhj6ver6evgkg82gp57m53ca8cwh9d68ktzet28mrm799q4seqtt3hxz,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1c2ahzeks3a4nx4hfcmm28re70qleyz9666tc4vn98pymvhntcq9slha7nf
Proof of Synth and Time #129,nft12udpe48cm2kgh3nmdeukfqplameldxchvayvun2p6gnakpxp4ajqg557nd,Chia Slime - POSAT Vault,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch19ar2q0wu3ykz90evx6fqjj8ru0z9v39xtllxlwp5ry9dtmhgpp3qf2av42
