owner_name,NFTs_owned_count,owner_DID,owner_address
jon🌱🔗Ӿ,1,did:chia:10y6wjchjvkcxlf403amanxdpvmapesy4mnrhc6s7qe0qpzqyughqdj5fhl,xch1upjm2fcvrrhd79cdune56w0fxaf4dndpcm9p4vpy9eevyj7y6x8s8t6m48
Chia Slime - POSAT Vault,15,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1dcpqeax06krpyvxtkrr4f75khq3yrnr6ny8qk7gf9r26u8y4f2zqma526g
cheesy_xch,4,did:chia:127wfmryse9ygnwwfyptz2ndydzax3y5hk9hhlud7gwn0qdy2nfzq8vuw9c,xch12mcn33st86qathneqrm97rcayrclp8kxkjzzzcmplq9ctzr3qdzsunqyez
🌱 Aquankh 💧,1,did:chia:13kz9usgwlfltae6vh4sn24agtc30zuqqx8a0tlmt2r7alk9ysgzqxe87ts,xch1htsukhsh2yrp5mqa344qya3xpqgenad9xcmfyaj3drl0hadgu80qw9q3yv
Unclaimed DID,1,did:chia:13n2enxuvqz9pqsq0e6v3kjpqmc9mhqcsxq3qqrez497kxc9x84uq0dhmjg,xch1xef2kj5dd5kln6ncwl0saupu9q9mk0yjwmvu2fnflk60z6cgqmdsqjl7hy
CatskillNFT,1,did:chia:15p6u50z8z6j65zjuzxpynke3nmlsvzh3axuehx6v9kd44tdeuqaqt9r2ep,xch1mueuqcejua85xuh6gcz5ehnlh9ayytc3p9l4drhn0pazsrtlp93sv2zv54
9x9 [NFT-Collector],2,did:chia:166gc98f2dzf5ekexwl43nmcspd9m0jmfkm5rs767a79jm7qphxssevvhwe,xch14kvh0fmerc599srjwclg3tfagn5p0cxtsm344u8m2rh0vlzc58vqrda89j
Poor Man's Chia Farm (Random Stuff),1,did:chia:18lt75eylnmvf6mfmf9rnu7f50dr39qwpz8e8953u80asqye4v27qe0nazu,xch18gv7heuvaq6c897wtufjvem9e0zstzfqwxcnrankekt6x7uc0fjsnd00f3
Unclaimed DID,1,did:chia:18ykz6xqpqjn9jf7c7nw6ncrs7lwk8gjz0cpd65587p74dhv95axqxmmvnd,xch18rult469ez3ch7qfdtjd2pkked9hsdjfp89zfhfn29lyue2uepzst78wrh
Madderhat,1,did:chia:193e8r3jq4mmx0d83y3slvqq5kvkgw2a6vf6qutael7t2c2yw3zrsgf6yqw,xch18kkeuluusxeaxmlxyhrugk37fgxh4skyu5m9uvgd323hghlt9rrq7hyyhg
Proof of Synth and Time Drewski,21,did:chia:19n56lgvwwj2p9yufaylnatlv9xrpvnvs6w9mq8p730xypf2ydyeqkpxz3e,xch1xcnq2env6lgm9mcrrn0lcqwugg49dp5wr5m2ec9drwu6yward3es358mun
Ivsky,1,did:chia:19rg34ld4artzv59ganmc6gj4yyvg0nwzg8ctekzsnnr8kqtcnees6x440e,xch1lwfjk7k56jcs3ar75fajtgj2d92nq2x33hnxh9s8e837e995mdzs7tymr9
Aeroscompany Personal Collection,1,did:chia:1c8vdk48ed3xn60sjcjwu8m4suaf7zdk4umetkyl5gfgt62fp2hmqrt785m,xch13w423pmgyjt8555fu9hyuprh4ztmvvek7yq77hggljl2terxn65sxqfydj
Unclaimed DID,1,did:chia:1ceq3lp9rjn5hlct57etf2kdazcetglts89gdv4ga6mq8n43w73eqljujmv,xch1pkg5alr49nf9szf4xf7ddj44unjeaunavea4khmqlp4q8knnysxqe2qr8h
andthemachine,1,did:chia:1cjknx7chwj58nyd0wkf0wv7545yslu7zkqnx8nv4mvjf7l0v3ycsd6hk4d,xch1p7egkcr0teafh5yjrjqm3mfhwt2y6zwttugpltuxvzkq0pmsy8ss6uwvgf
Unclaimed DID,5,did:chia:1e8j2uph34glvzmjrt7uefwtxqdud97n058ac4dl2sc68phpssw5sqagkw8,xch1xdacduwkwrw6ztm4ssf867d7nklgmvy77uakgk4ppm69w0473a5sn74phl
Pimpuli,1,did:chia:1eg8r9mm7lngq8ha8aw2ls4mkmhduqqrc32d99kt9wv7es5hgukxqxharde,xch1j4k9nte0da72wfs4uvzmsvj8vlqdkv2rz3l3j2x7fhf48ztwdcgsl0pvaw
Unclaimed DID,3,did:chia:1fznzsqmefn3vhs0z9eu52wjz0cjyeuadux8lus2vmr9tjp2f6fdqk3t6d8,xch1xtpq9zz7jl3wyuwf9m60jac4me2hk68ypks7k82wpm94swmy9qlq9mjxl9
The Uno Museum,1,did:chia:1g3qvkavkq9aysns6zfnwk0e9d85jd5hqhzhntcs5kw0e3yg3kh9qqk69r7,xch1k8rqchyjnczan33g6y5af7qysa2age96cmlzlvpql83gv8x9y7vs272z2e
lucky8.xch,9,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
King Leonidas's collection of Gems - 2,1,did:chia:1npn8jptz5c6g9h8zvpz0mdmpjljdxfedmmhklk2z3al0fuseet0q4sjltd,xch1fe5jf9zypp44jxruh4whale9w59h2y5znjtmvnvtxwzn9vu4ggcqratwzu
MrLynch,2,did:chia:1q3sm8u7vle8hfv7dc7xzkaz94lgtfxekpjgmzn8q3qc35m6jmv9q2nekcp,xch12xs5p238nd03240vmaz5x0qv36jus3cx7whjygk3yf5z4l2xet3q75266a
🌱Royalties Guaranteed🌱,1,did:chia:1qcxuhk9zy9sn59tcf6pvkmqeseup28m58njfwjmtgz5p53udplvqz2a7qf,xch10vm40fvqvcvj67znceshypzye3r0kmm5stmh6k2mgj97wsrjcassvcwgmg
leafy_k,1,did:chia:1ukh47h6lsrprztdnan2ecvphxku9cpm9pe8rr2c3cxk0ldlhl63qu9485h,xch1ec7ad0x7utez8uu45luxc8juj6qyttd34ycu58jrlnp2x0yu7t4s3vaa6n
Martian News Network,1,did:chia:1vree4lzghmfzmx44rckf8jawjgt2mlklda0xhjtjxzchur0z9gcsuc394n,xch1jnznad3pqz38pu9rs20h4svvgm0lasnufm4c4kn297dhd3fj2c0sfpz09m
Synthwave Andy,1,did:chia:1whapdrythg450xezlhxrnvgj8pac5w7f755z9pn0fv58xgl8l2lsgxl5mh,xch1s9m787u72rx4xxht2vgc3ezhyv56vmxs34slrt2p00d3vlx04n9qp9yzkn
Mobius924,1,did:chia:1y4urvcm2htcwj7yh5ezxg4f6alshd29g3ldst5fdj0h9y29lj3gq5x75nl,xch1vc7hvh6wfwufdww8kkuu585qr30nkqu5nda32aqwxwpz0n0q5d0q60cp23
Homeisfire,1,did:chia:1yz9te4wrh6a3gy20tecf2n4exc7t8dua0d2ztjde8dsfyatnq7csh82grz,xch16jmav6pdl7ptrgafna6rdcclspwnf20y5chlwmgjeyyej2xyqyqsejdvpg
🐂*Daryl*🐂,3,did:chia:1z49jng37mn4karenscwqt54nlv97hhhrs7sf7vjpgpv8hj92p9qs4q4vpg,xch18xwxq9246vlky8pxflvaj92d5qnh2nxf5qmgswpgndn2gf3lgh2s8lcr9z
LoganicusMaximus,8,did:chia:1zatkfkjpc7ujfr59838euchygr772vnqu7grc0zlwfde5yjjfuxs3galmy,xch1cmf75x9yqnv3p9n7j6nwcmkqnhn23a0s8c9xfrp89hn2ggjaeeuqzterfh
Quirky Giraffes - The collector,2,did:chia:1zhwaq0dmu2mpmccsze9av7aavw2000vj9r8860yqvw2e37snqqlqvu6dv7,xch1n7lsyu962cwhpd8d3ytggep69uyusng9f8r0gx2htrkmflf4rlnsjmwgzt
Unclaimed DID,3,did:chia:1zjlmmgsympk5snf7pmx4320qytnkdn7fc7zc5ddhwkk3q8pva8uq5racpt,xch1ha3muhpde679nvgy3qtpkz8fdyqmvvmuxs4z06qm8yte63v9cz7qt3uhcx
