nft_name,nft_id,owner_address
Retro-EVO POSAT #261,nft1vmysqljf93vt888y3rsvtgh2e3p6m745z9xntt82svvh0sd0guaqyyxka5,xch1hrvwkz0cfwpzphszl07mztwpe6w0k5t3l9vhqrn5t29fcqu63duql6skkh
Retro-EVO POSAT #216,nft19efmfz2wnmcrrh4fnf925qplpejhe6xaqswc6px5cmkgfx382nlqllgwvv,xch18utnmnjshdqsmge3t4g5gnmsdff3al5gkejdtr598phxulghy8asamzngn
Retro-EVO POSAT #54,nft18mmh3a9yfrhsahkv9fg58mz2uw24fjg59rhqjcm5xrx53zctqljqm7rjp2,xch1v80ge9qmupu4yvggjfrj2qhj0up86uyeuyg9phnthvtze5c08lesj3hvc2
Retro-EVO POSAT #195,nft1az4j8hr9y7qynuxvqw85kk5ysz74s6c62jl5mm004ugdsqnxa5vsd33yyj,xch1akqjd3vp59g6306myy6r9w0aa5lxafkz34ky0nunur2m87je82lstj0vsz
Retro-EVO POSAT #103,nft1jpvzxvd7v7ardha6kkv0qz205ta97ayd5qwhgynv08txhzq0vswsep8huw,xch10g6dunp2gwtgcuytnrs4ndv3myvpj9cdc6f59fkzpx6u25wkm7wsf0r4ak
Retro-EVO POSAT #275,nft1n9l6jv6s5nqv89s4t6v7dg7fx9fnted3nu2skk0sx7frxn085nlqe9k66r,xch1x0vkl5yge5je0wjy3ygz2wnzpj56tuvyd9zckp422ha58ltv4srs37rlht
Retro-EVO POSAT #96,nft16h7l0853pmr8dq9j7vel0lxvwyeh7yl9rtggqujl2k820f764y8q5sgtzr,xch1pmsagwnpw65mce08nrahk8twxadhw8tft7h0xwg7vtkfmk2qpdnsnn25t0
Retro-EVO POSAT #263,nft186n4asv75mgn4lh9mlyuxmxlwa585avw3pqew2ehkld8wvjw8szqp0kzet,xch13rhm83xn4smrfkczdmdedwg8n2euha0cqc375ru35wlp7rgn0mxsscnd3x
Retro-EVO POSAT #257,nft17gg54esh3p9nq3cx6w8ywmruqm4n793x95j6jl4e73mzppt7u5dqd3a7ke,xch1n8qte2hls2egy8srmmru080ew5s98asjuxggpcg2u4elrtkl72jq9mdq0a
Retro-EVO POSAT #225,nft1e8gx5l9eyqrmvdgp33jxs7d7aec55p5w6qa54fv8zhtukt9qynes68sdfq,xch1hnxple5zgz3zmxed42fc9gv4g2a5n8mfhlpd8r9fewdmt2c3reysax265t
Retro-EVO POSAT #49,nft1rczus90u4jk24zw0al3t2h04rgrznjv0awndqejwtvjcha8camcqckzlts,xch1njk920lqejy82ea59f2kr9lcq9c09ajrac2wrlsf2qfl69vtykgqsj33xs
Retro-EVO POSAT #258,nft15c2cpdq7m6uyv7r8awnxmpuz84avrzcxydq9faa3axfplh0ful8s2tzjal,xch10ggv7dh8zsl8w6aeg2gp44wj92jldav7lzxf9ukcga57p8c8hnnqu3gstn
Proof of Synth and Time #23,nft1aqrl79s2d9ef6sewgnq2wa2697dwr32g7yq5hjgevukxq8z9wf4qj4ml6q,xch14vjrxukrh58c3ejlcdm38w7a2kszwa77gze27atsyd7utqw4mf7sg5mtdt
Proof of Synth and Time #19,nft1k36xcykfctyw9jgjgmsmw286kr23dswgxcfmws0kev8p826k9kxsfk9yxy,xch14vjrxukrh58c3ejlcdm38w7a2kszwa77gze27atsyd7utqw4mf7sg5mtdt
Proof of Synth and Time #12,nft1kr06d325yg307yslgj0r09xfzjlx8w57cjpen32ajk8knzs3wctq4lg98a,xch14vjrxukrh58c3ejlcdm38w7a2kszwa77gze27atsyd7utqw4mf7sg5mtdt
Proof of Synth and Time #10,nft1jyax82x5tygdsq56cs3vq9vyzvn4zykvl0zzjnq46cwam0ekufnsadmyv0,xch1dsacg5ff6lway8vpshfx7q0pc2spx6pmrp7d3h4x7g4gd0388rvswy4zah
Proof of Synth and Time #8,nft176rvrwva08s90ru0upu3jz8djxmvj2yue2f7q8zu9er8cj5ljz5qgutcf6,xch14vjrxukrh58c3ejlcdm38w7a2kszwa77gze27atsyd7utqw4mf7sg5mtdt
Proof of Synth and Time #4,nft1gmdyynzes9hrxytypy7l7q4j0nvef2wgp7hsvupl29jfgdfwlrkszvdecw,xch14vjrxukrh58c3ejlcdm38w7a2kszwa77gze27atsyd7utqw4mf7sg5mtdt
Proof of Synth and Time #50,nft1e2hlfpq9kfp6mvsvttjdu3dfcxea4wjv7h2d8azylfwakzseqmgq6t20ca,xch1eyr0fhfa2r8xg68p0n2fp43uekzze4vmgpmdftmyhj8qfkrpq4dqzh98m0
Proof of Synth and Time #47,nft1p3ctkqs30rheklrzdark5gz6z2g3sg0g0cl4ne77kaxxus9k3cfsdwajz2,xch1eyr0fhfa2r8xg68p0n2fp43uekzze4vmgpmdftmyhj8qfkrpq4dqzh98m0
Proof of Synth and Time #46,nft1n44rsk7rm765rkrjm0e0laqla9yrx7xj475s2zmqqqmrrl555ejs275259,xch1eyr0fhfa2r8xg68p0n2fp43uekzze4vmgpmdftmyhj8qfkrpq4dqzh98m0
Proof of Synth and Time #43,nft1lt0puxc963s5kjkk3k4007nswydcpff7jx427l50uhmf8a69cumqeaevut,xch1eyr0fhfa2r8xg68p0n2fp43uekzze4vmgpmdftmyhj8qfkrpq4dqzh98m0
Proof of Synth and Time #39,nft1etj0yg7xe4cx03rukzlwzvv45kuj70yla59fsurhq63l8lckuw9sfm3mfz,xch1eyr0fhfa2r8xg68p0n2fp43uekzze4vmgpmdftmyhj8qfkrpq4dqzh98m0
Proof of Synth and Time #37,nft159nasyzt7xljg74jfpql834ca68am207mlvpy5d5k8jcwvs0szqs0jmc6e,xch1eyr0fhfa2r8xg68p0n2fp43uekzze4vmgpmdftmyhj8qfkrpq4dqzh98m0
