owner_name,NFTs_owned_count,owner_DID,owner_address
Chia Slime - POSAT Vault,15,did:chia:120ycw0r5un5rmjttpk8mj0mnxe3ws2nw73t4zdry8d4g670rzs3s8pqffm,xch1hlfxkdvm2p8sg2aj52mp5mmamk8k0fn0d0ql432erjk8hyv9ujnqsxgxhv
cheesy_xch,3,did:chia:127wfmryse9ygnwwfyptz2ndydzax3y5hk9hhlud7gwn0qdy2nfzq8vuw9c,xch12mcn33st86qathneqrm97rcayrclp8kxkjzzzcmplq9ctzr3qdzsunqyez
Unclaimed DID,1,did:chia:13n2enxuvqz9pqsq0e6v3kjpqmc9mhqcsxq3qqrez497kxc9x84uq0dhmjg,xch1xef2kj5dd5kln6ncwl0saupu9q9mk0yjwmvu2fnflk60z6cgqmdsqjl7hy
CatskillNFT,1,did:chia:15p6u50z8z6j65zjuzxpynke3nmlsvzh3axuehx6v9kd44tdeuqaqt9r2ep,xch1mueuqcejua85xuh6gcz5ehnlh9ayytc3p9l4drhn0pazsrtlp93sv2zv54
9x9 [NFT-Collector],2,did:chia:166gc98f2dzf5ekexwl43nmcspd9m0jmfkm5rs767a79jm7qphxssevvhwe,xch14kvh0fmerc599srjwclg3tfagn5p0cxtsm344u8m2rh0vlzc58vqrda89j
Unclaimed DID,2,did:chia:172f30q0lmnxn6qcngdfvqtmp2mskayx5ck32tynf0lavs3gywxdspwjmez,xch187ak7qlfslkenfuh08l2nyx2py880l9gkw8f3h2da4tqc6yp3cqq2uzc3m
Madderhat,7,did:chia:193e8r3jq4mmx0d83y3slvqq5kvkgw2a6vf6qutael7t2c2yw3zrsgf6yqw,xch18kkeuluusxeaxmlxyhrugk37fgxh4skyu5m9uvgd323hghlt9rrq7hyyhg
🐳 Master_of_Chia 🐳,3,did:chia:19etfkkuyqavn6xj4sftpx052ep4l72r3dcgjacfjta6vsm223zls0zp4yp,xch15k7fuhev80jsgx9vlafy8cvmduad4k7hzu5dvfpjhp35h36vjnuswfsyc0
Ivsky,2,did:chia:19rg34ld4artzv59ganmc6gj4yyvg0nwzg8ctekzsnnr8kqtcnees6x440e,xch1lwfjk7k56jcs3ar75fajtgj2d92nq2x33hnxh9s8e837e995mdzs7tymr9
Josh Painter,1,did:chia:1ar35mu00g86j032ffn0xjgy8d5uh9q6kcvyap7n073pyxlhpmufsjd4kya,xch182tpe80n8j2x4u6uy7p9ypw72akdd3kxtud2qjgdm75rkcna263qpd83c5
